RMS,Energy,ZCR,LAT,TC,ED,SC,SS,SV,SF,SD,Instrument
0.12356043819816256,3361.680779857496,0.01841591352922476,0.16031746031746033,0.6211360284810699,1.0,3844.268591358478,8543.714263592174,2.222455080999691,2.737366451403066e-07,-0.00018640453534291723,gui
0.4261609732208715,62623.12858409556,0.04566493434179388,0.09918367346938775,3.135832577713106,1.0,11229.023888073423,10079.835026716362,0.8976590598780685,1.157886698295015e-07,-9.717192869402783e-06,trp
0.23900004088434212,21512.80413813907,0.1050799483827114,0.010770975056689343,3.7066544774734895,1.0,47807.23718030698,43891.41786360658,0.9180914951865609,1.0406558840786357e-06,-2.266760059550518e-06,vln
0.2864459499879369,20434.625694124847,0.0360373744714853,0.0,2.0643917093707795,1.0,12599.15206874811,17419.26664219144,1.3825745214552578,7.048354041642734e-07,-1.475101599151986e-05,acc
0.033696195524098804,177.4171760426978,0.11443473808838117,0.0,0.09606216282916495,1.0,26603.49049740974,20153.668327624997,0.7575572960844091,7.2100933436324066e-06,-8.83192577109985e-06,hrp
0.19009175317865773,20938.280832596876,0.010085460645303806,0.03727891156462585,1.939798529012831,1.0,20968.411893378903,41794.87533233682,1.9932303669375262,3.9194904317332045e-07,-6.295876144512763e-07,cbs
0.08245580853292553,1497.6749882810934,0.02284365353186853,0.08793650793650794,0.38179797914086216,1.0,6353.362970914517,11333.412502495146,1.7838446432824835,4.599220368370354e-07,-0.00015873919764709723,gui
0.38004500920840545,61863.9159750436,0.022627994555459833,0.1878684807256236,3.783157890847391,1.0,12796.1915633133,19684.703182226956,1.5383251403224558,2.0068650524817063e-07,-5.604503315365111e-06,sax
0.2152624768042452,10175.300571536527,0.033335003119464086,0.03777777777777778,1.685848141982912,1.0,9919.689202871408,14503.493062540641,1.4620914794732056,9.158993290831677e-07,-1.1443041086257977e-05,cbs
0.05709759625515361,758.8160979996113,0.010465895616009899,0.055374149659863946,0.40966292088576356,1.0,2676.531423823416,9802.111967834422,3.6622443064136116,3.095645199643364e-07,-3.94090064667071e-06,cbs
0.22030586860292797,18275.198268799195,0.021283319921707976,0.010068027210884354,3.310042491552091,1.0,13373.634033024988,18246.916620057073,1.3643947916473527,3.4240620928545785e-07,-5.891644114255499e-06,vcl
0.06972104017711535,1610.865392760684,0.032406513289718275,0.024081632653061225,0.12968136287382728,1.0,15127.061104822422,26895.01207348984,1.7779403340227047,6.883659837624182e-07,-0.0001431405900448436,hrp
0.18629195769192686,5838.405292314692,0.01287515380637338,0.003287981859410431,1.4403929463663445,1.0,2226.589659246915,6995.9475914232,3.1420012943873075,3.751435240642685e-07,-4.759096575141528e-06,tub
0.2684580045928178,20572.007651840417,0.020213980928091478,0.0,2.3612147782804533,1.0,8508.80372486974,15083.47290399846,1.7726901914439648,5.019177618734635e-07,-2.451303397136732e-05,acc
0.22734755604942794,28135.66676056848,0.014832423376222564,0.026938775510204082,3.669200304528999,1.0,18585.503578943375,34762.37385017222,1.8704025802968602,3.5545842285411613e-07,-1.072982308604228e-05,vcl
0.33653251855665206,39763.640419915915,0.032999051554965665,0.002857142857142857,3.5339857393257446,1.0,12197.929832339187,18673.694193034462,1.5308904420426088,3.7896233171371476e-07,-8.630411406233447e-06,clr
0.30802393137053224,26637.49153609795,0.042553418841472755,0.0,2.704513714420394,1.0,17394.622905486583,24689.936231094878,1.419400487452201,6.79397790575638e-07,-7.076202166651634e-05,acc
0.09245408328038045,1980.5837983355582,0.030706751601153177,0.2757823129251701,0.4971176462112011,1.0,6077.561611469222,12122.05982499277,1.9945597593147752,5.539643348020785e-07,-1.767678587053264e-05,gui
0.2910677740736517,31553.792387059275,0.04853589513647616,0.017913832199546485,3.820464791228571,1.0,24194.448504232463,28879.823731031316,1.1936549711384914,7.02575296414437e-07,-7.917904247808212e-06,vcl
0.24045031973031633,19304.476640189743,0.11076901881740557,0.008752834467120182,3.065582052227863,1.0,32977.205329257515,30568.355085461593,0.9269540817742133,1.0637411532122107e-06,-5.225520523297996e-07,vln
0.25436818391490873,23997.30690737102,0.05753027235004031,0.0034240362811791382,3.2013171313332456,1.0,20476.663284174287,21737.013102128567,1.0615505466131467,5.547664918059289e-07,-7.586385271275661e-06,vln
0.08663545626774838,5861.9835056141865,0.010796359557697527,0.02056689342403628,1.8211206563346813,1.0,12825.882162948885,35595.159713555055,2.7752601545320243,1.0815537159716647e-07,-7.490551514519395e-05,hrp
0.36944070599907197,34561.50459308101,0.03360279279528321,0.008344671201814058,1.6982167258406826,1.0,15891.848105994091,23096.084590991843,1.453329055056879,9.132661809760157e-07,-1.963706612781851e-05,acc
0.34063919242059804,53857.556791464674,0.04090927697786702,0.002494331065759637,4.478303083837044,1.0,32175.401351682885,39967.366276555884,1.2421714911868675,5.374170041782879e-07,-4.363989198331611e-05,sax
0.21035788730460642,14669.861867416133,0.022427070544976307,0.081859410430839,2.7581164374026095,1.0,14191.869269365236,18155.987485221445,1.2793231913722043,5.218440897191938e-07,-4.712318507656946e-06,vcl
0.30340947721582123,33438.06908257886,0.05762723996575182,0.006054421768707483,3.408173525611895,1.0,23908.804491521118,25124.81826716219,1.0508605010372774,7.590101986227062e-07,-1.979888641694182e-06,vln
0.5864334150269337,117721.82967555258,0.05109403756828606,0.23430839002267573,3.373531185506814,1.0,14829.094584309569,14661.752586437313,0.988715292297797,2.398942464787268e-07,-2.3096844282744042e-05,trp
0.11462128352485948,2320.834525205951,0.02423436173223889,0.1793424036281179,0.3790354747567295,1.0,4268.741134318367,8512.759963007875,1.9942085254525967,4.879830380226427e-07,-9.566790192206823e-05,gui
0.052409394456261534,439.915872759259,0.023838810182381258,0.034467120181405894,0.20209823401794771,1.0,3103.414913943675,8057.518404640343,2.59633939646221,7.098967063697328e-07,-1.9930123522104343e-05,vcl
0.14461880483425577,4625.054359102808,0.009048566518947273,0.016303854875283446,0.7239893315205705,1.0,3404.894213416115,7556.659400429747,2.219352181531709,2.634323851924241e-07,-3.372339262861196e-05,gui
0.08946812100442383,384.5863535060857,0.03282271156808059,0.01832199546485261,0.07998576794413831,1.0,2483.713268768388,3903.740095687762,1.5717354111586037,6.067219642265573e-06,-0.00013002324833168665,vln
0.5685794561726876,113743.74927385639,0.04018303774442929,0.331859410430839,3.576395387916333,1.0,20198.817959868946,29986.59666329013,1.4845718557822325,8.259992513559941e-07,-3.81453263536419e-05,flt
0.14763052795011924,1418.4909917977689,0.010017823120889927,0.06195011337868481,0.19246142667627245,1.0,607.2700935051782,2330.853750191387,3.838248870017031,8.045795794882971e-07,-4.308731310926927e-05,cbs
0.4559043174407031,65193.83787771227,0.011292482305681311,0.44736961451247165,3.10469643780108,1.0,5405.8715513131865,8121.543527332347,1.5023559938932463,8.17493601697644e-08,-5.2242827211720426e-05,trb
0.3303262156588513,26158.564286222852,0.05520308009327043,0.0,2.102552012896129,1.0,18953.994370871205,26102.706809319323,1.3771612620838576,1.8671682163836028e-06,-4.222796173975767e-05,acc
0.336292178187237,41601.95478751561,0.04217116387301622,0.2763718820861678,3.46552127873186,1.0,15831.584435964918,19765.138080449466,1.2484624113521208,2.8965449522847094e-07,-2.060242019164944e-05,clr
0.24758321829823016,19915.0511198473,0.012173276042500278,0.0027891156462585033,1.7568074903609523,1.0,10126.10352305172,17905.79810707794,1.7682811622768835,4.6419938055701846e-07,-1.4993932396750898e-05,cbs
0.11912159918722315,3138.974222423545,0.026309722391743628,0.30374149659863947,0.5368000631472369,1.0,4343.3017656679085,7942.781535231641,1.8287427316278606,2.404450329298088e-07,-1.481577843979753e-06,gui
0.09231982079375858,4809.594048860761,0.013859378959474474,0.028117913832199547,0.3034621605140033,1.0,4946.996158491609,13565.589100783889,2.7421871103534836,3.2339648951161345e-08,-2.9265186085196293e-06,hrp
0.3194025808107522,35841.68091744929,0.026744315125225217,0.01292517006802721,3.108396025944186,1.0,14438.237340811671,19226.506698221772,1.331638083263488,4.632137742745193e-07,-9.319647251338021e-06,vcl
0.34566328891515874,39609.009183486065,0.0232697743308507,0.0,2.6192181781824915,1.0,15357.559010928462,24493.800286059693,1.5949019156384077,5.048459408083495e-07,-9.28230771996635e-10,acc
